#,Structure,A_valance,B_valance,ra,rb,Lattice parameter,o-o distance,h-o distance,h--o distance,Bcat-h distance,Bcat-o distance,Acat-h distance,,o-o_t,h-o_t,h--o_t,bcat-h_t,bcat-o_t,acat-h_t,EB,Distortion energy,EB - Distortion energy,o_o Initial distance,Gold Schimit factor,Distortion,GS2,OH,AH,BH,ABO electrostatic,ABOH electrostatic,ABH,electronegetivity_A,electronegetivity_B,A_dist_total ^2,B_dist_total ^2,O_dist_total ^2,H+ formation energy,H-dist^2,H-distortion,B-distortion,A-distortion,O-distortion,Hcat/Ocat,Hcat/lattice*4,p,vol_ratio (WH/WHO),e_above_hull,H_H_dist,C11,C12,C44,e,bulk,shear,vol,shear*vol,C44*vol,young,ovac,H_bcat-Hbcat_t,val*rb
1,KTaO3,1,5,1.64,0.64,8.121117187,2.710790533,0.978039503,2.186956882,2.450753292,2.13505401,2.336677063,Comp:K8Ta8H1O24,2.409025864,1.112418406,1.388275144,2.131038199,2.196392552,2.361849316,0.39122835,0.37,0.02122835,2.850233591,1.053727752,0.105919863,1.380227987,0.973684691,0.104219197,1.04837504,2.222110905,2.066073151,0.97376719,0.82,1.5,0.007380097,0.081549133,0.096915198,-3.48260221,0.21435596,1.404051862,1.661516147,0.685692302,3.515885684,1.147864776,1.207101553,0.62839828,0.998907611,0.027637025,1.211079465,4119.4752,749.798,995.0936,0.015,1873.023733,1270.9916,523.93,665910.629,521359.3898,3109.605457,10.88333612,0.319715093,3.2
2,RbBiO3,1,5,1.72,0.76,8.5374672,2.759544001,0.986042296,2.166751536,2.508680809,2.246268396,2.511982036,Comp:Rb8Bi8H1O24,2.422821863,1.078788863,1.471461709,2.262055728,2.223975166,2.50912278,0.36662252,0.314,0.05262252,3.065462046,1.021376462,0.079359595,1.355518023,0.627501244,0.061988626,0.614644011,2.582353732,2.046245932,0.592395463,0.82,2.02,0.003152524,0.018299425,0.094258582,-3.30347778,0.228879749,1.505843865,0.893159131,0.410721176,3.038313921,1.116821486,1.175374734,0.557484624,0.992337184,0,1.415577302,1953.8244,426.5362,472.0633,0.015,935.6322667,588.69562,651.81,383717.6921,307695.5796,1459.899465,4.77426551,0.246625081,3.8
3,BaZrO3,2,4,1.61,0.72,8.501968005,2.853578854,0.985608594,2.174298972,2.390467628,2.240274248,2.616925769,Comp:Ba8Zr8H1O24,2.53453325,1.059118344,1.545730524,2.146684593,2.212032191,2.527835271,0.2696849,0.407,-0.1373151,3.009226551,1.003958213,0.471044868,1.406876518,2.262885376,0.358038153,0.944811099,3.270739466,2.601857263,0.651288327,0.89,1.33,0.021121785,0.037758094,1.035951876,-3.99274769,0.558055777,1.863143123,1.059941567,0.914438255,10.08248451,1.067042408,1.124665549,0.69490338,0.991761112,0.055601,1.787200488,2843.4161,729.3503,862.3162,0.015,1434.0389,940.20288,616.59,579719.6938,531695.5458,2314.73632,11.29953741,0.243783035,2.88
4,BaNbO3,2,4,1.61,0.68,8.335194192,2.833051452,0.980331634,2.098331526,2.275085134,2.206970803,2.497890959,Comp:Ba8Nb8H1O24,2.486796393,1.096568517,1.44855031,2.059303654,2.172330195,2.484242336,0.35074631,0.58,-0.22925369,2.93758532,1.023265102,0.068488184,1.40181544,1.148572484,0.077859751,0.782324529,2.009076819,1.507810336,0.808806283,0.89,1.6,0.004232929,0.012425,0.084532905,-4.00329948,0.180679524,1.340758367,0.764465175,0.515157571,2.588148136,1.030863268,1.091797063,0.693623516,0.995196913,0.042137038,1.27425914,3122.2009,1025.8148,692.1938,0.015,1724.610167,834.5935,573.6,478722.8316,397042.3637,2155.995635,11.00982421,0.21578148,2.72
5,BaSnO3,2,4,1.61,0.69,8.377635341,2.756543866,0.98584299,2.121266021,2.397887774,2.190095573,2.535869224,Comp:Ba8Sn8H1O24,2.48514542,1.04981176,1.546090184,2.140298535,2.148507488,2.47677078,0.36623621,0.37,-0.00376379,2.961811505,1.018369096,0.34535401,1.403095422,0.92331052,0.222217492,0.48024833,1.288239917,1.168272371,0.540206605,0.89,1.96,0.006139564,0.013546367,0.30097253,-5.85650814,0.298943472,1.687661355,0.749241381,0.60305843,6.079610097,1.094878143,1.14489957,0.722255354,0.989755147,0.027123568,1.636589262,2341.5707,653.0892,905.0965,0.015,1215.916367,880.7542,587.91,517804.2017,532115.2833,2128.365683,8.51105408,0.257589239,2.76
6,BaHfO3,2,4,1.61,0.71,8.417716369,2.809515785,0.981966463,2.110428509,2.339614607,2.213319929,2.543209513,Comp:Ba8Hf8H1O24,2.514592094,1.053011854,1.531098276,2.110107235,2.185361504,2.501957688,0.38646608,0.50758802,-0.12112194,2.980771805,1.008716309,0.230198907,1.405625848,0.761008921,0.142706428,0.633068158,1.714170799,1.370164729,0.741062625,0.89,1.3,0.005640339,0.015248595,0.179306597,-4.09679137,0.247787976,1.565968284,0.860950056,0.610422474,4.418456693,1.057061194,1.111757396,0.688121943,0.994072603,0.061282353,1.501101815,3211.1638,1039.5019,967.2742,0.015,1763.3892,1014.6969,594.6,603338.7767,575141.2393,2554.178602,11.56985182,0.229507372,2.84
7,SrTiO3,2,4,1.44,0.605,7.900106022,2.707172459,0.986834324,1.997193269,2.260850957,2.116042432,2.448679078,Comp:Sr8Ti8H1O24,2.484300033,1.027331664,1.548915927,2.036644897,2.107287529,2.34392503,0.355,0.2985,0.0565,2.789628176,1.00158766,0.615694582,1.493661019,2.114616361,0.326107325,0.35804401,2.660794228,2.569472668,0.481608693,0.95,1.54,0.009305745,0.022036904,0.475736233,-4.11476239,0.319776899,1.718764436,0.944629831,0.783768825,7.7080747,1.068433658,1.144719299,0.758674818,0.994950055,0.021628371,1.69248314,3139.0407,1072.6836,1141.6745,0.015,1761.4693,1098.27612,491.22,539495.1957,560813.3479,2727.883279,10.0340379,0.22420606,2.42
9,KNbO3,1,5,1.64,0.64,8.197001073,2.744664182,0.976205522,2.15607862,2.480871042,2.183322038,2.353792354,Comp:K8Nb8H1O24,2.452813776,1.078559613,1.442514628,2.207501686,2.303284907,2.365064085,0.32529456,0.30796,0.01733456,2.869063844,1.053727752,0,1.380227987,1.236952492,0.086486306,0.828031687,1.857816426,0.9879265,0.67615158,0.82,1.6,0.025188103,0.287993395,0.24656626,-3.70947096,0.332205478,1.417637712,2.696393263,1.18226886,5.240389697,1.136282692,1.210623749,0.63612078,1.013942477,0.00595578,1.230387616,3753.615,852.2433,887.2076,0.015,1819.3672,1112.5989,534.39,594561.7262,474114.8694,2772.616635,9.59119678,0.273369356,3.2
12,BaTiO3,2,4,1.61,0.605,8.06552,2.718327481,0.979472483,1.96667925,2.233061775,2.163795301,2.444514122,Comp:Ba8Ti8H1O24,2.523421267,1.035605563,1.557055521,2.045853046,2.206989076,2.438900926,0.285,0.3611,-0.0761,2.851597244,1.061541851,0.109833926,1.391888525,0.855203669,0.156934689,1.043520549,1.594345634,1.219451631,1.006580101,0.89,1.54,0.005082407,0.049018552,0.093802339,-7.44677442,0.185744337,1.324169233,1.182157477,0.59206387,2.915177008,1.032011565,0.775289201,0.749349589,1.017795396,0.026954738,1.238936831,0,0,0,0.015,0,0,1068.04,0,0,0,0,0.187208729,2.42
19,CsBiO3,1,5,1.88,0.76,8.731761037,2.870150418,0.983135006,2.281459968,2.566179969,2.319966023,2.576631991,Comp:Cs8Bi8H1O24,2.4513266,1.079233912,1.486152823,2.276017036,2.27488693,2.591252724,0.50758691,0.2614,0.24618691,3.123691582,1.073754742,0.093379535,1.281243063,0.810553769,0.103381175,0.758593439,3.195092889,2.314704827,0.710984877,0.79,2.02,0.004434742,0.022086604,0.104589457,-5.07602109,0.269827396,1.640001962,0.964442755,0.487530432,2.987276433,1.106128255,1.175561245,0.570262215,0.985995744,0.0314,1.537015181,1933.0165,209.7499,512.8552,0.015,784.1721,652.36644,689.67,449917.5627,353700.8458,1532.208891,0,0.290162933,3.8
